(0002, 0000) UL  220
(0002, 0001) OB  [2 bytes]
(0002, 0002) UI  1.2.840.10008.5.1.4.1.1.501.2.2
(0002, 0003) UI  3510118335.00277.20160.163219.079219161207109241
(0002, 0004) CS  V03
(0002, 0010) UI  1.2.840.10008.1.2.4.70
(0002, 0012) UI  589819685.55210.17349.165143.11411818077180154
(0002, 0013) SH  1.0.1
(0008, 0008) CS  ORIGINAL, INTENSITY
(0008, 0012) DA  20101005
(0008, 0013) TM  120000.000000
(0008, 0016) UI  1.2.840.10008.5.1.4.1.1.501.2.2
(0008, 0018) UI  3510118335.00277.20160.163219.079219161207109241
(0008, 0020) DA  20101005
(0008, 0021) DA  20101005
(0008, 0023) DA  20101005
(0008, 0030) TM  120000.000000
(0008, 0031) TM  120000.000000
(0008, 0033) TM  120000.000000
(0008, 0060) CS  XRAY
(0008, 0068) CS  FOR PROCESSING
(0008, 0070) LO  Device Manufacturer
(0008, 0080) LO  Machine Location
(0008, 0081) ST  Machine Address
(0008, 0118) CS  MACHINE
(0008, 1010) SH  Machine ID
(0008, 1090) LO  Device Manufacturer Model Name
(0008, 2108) CS  LHS
(0010, 0020) LO  20
(0010, 0021) LO  OOI ID2 Assigning Authority
(0010, 0022) CS  RFID
(0010, 0040) CS  U
(0010, 1002) SQ  [Empty Sequence]
(0018, 0060) DS  5000
(0018, 1000) LO  123456987
(0018, 1020) LO  Device Software Version
(0018, 1200) DA  20101005
(0018, 1201) TM  120000.000000
(0018, 7004) CS  DIRECT
(0018, 8151) DS  123
(0020, 000D) UI  1282485085.48202.18906.161172.152110206133178116
(0020, 000E) UI  4167051403.31260.20211.163197.099053211073200049
(0020, 0010) SH  Scan ID2
(0020, 0013) IS  1
(0020, 0032) DS  1, 1, 1
(0020, 0037) DS  1, 0, 0, 0, 1, 0
(0028, 0002) US  1
(0028, 0004) CS  MONOCHROME2
(0028, 0010) US  200
(0028, 0011) US  100
(0028, 0100) US  16
(0028, 0101) US  16
(0028, 0102) US  15
(0028, 0103) US  0
(0028, 0301) CS  NO
(0028, 1040) CS  LIN
(0028, 1041) SS  1
(0028, 1052) DS  0
(0028, 1053) DS  1
(0028, 1054) LO  HU
(0028, 2110) CS  00
(0040, 0555) SQ  [Empty Sequence]
(2050, 0020) CS  IDENTITY
(4010, 103A) CS  V03
(4010, 1042) CS  BAGGAGE
(4010, 1044) CS  SUCCESSFUL
(4010, 1048) CS  OPERATIONAL
(4010, 1064) SQ  [Empty Sequence]
(4300, 0902) FL  0.000000
(7FE0, 0010) OW  [40000 bytes]
